,Individual,Population,Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
1,individual1,GBR,22,-0.0107380574672092,0.027763112230486,-0.0128725996586141,-0.0174014827483842,0.00437384997411189,0.000599228759204697,0.0111730276813094,-0.00336979006466481,0.00263310524358861,0.0367935137289427,-0.000704349060370183,-0.0188164002752178,0.0169625405115307,0.0205181759436364,0.00182475628331132,-0.00938604911663096,0.00602745355956898,-0.0165571589772131,-0.0217740579103602,0.000648648599866197,0.0134494807007916,0.0110675002062731,-0.00133995985378518,-0.033497394829102,-0.0143206790377424
2,individual2,GBR,22,-0.0106240572135524,0.0276327017132276,-0.0122091313249076,-0.0175083865691706,0.00170279833221398,0.000824238229434586,0.00874882331951543,-0.00148865688026993,0.00366544427401789,0.0316402701408704,0.00263110843250821,-0.0219305272531016,0.00721423951542428,0.0108305230025596,0.000768194693052819,-0.00628811220345838,-0.00123119127395419,-0.0115211711431675,-0.0214848104049251,-0.00432748691160932,0.0104663014843025,0.00714522640567454,0.00430493629021998,-0.0308016599062525,-0.000652633544874662
3,individual3,GBR,22,-0.0110723121500444,0.0270967793266127,-0.0113694771754151,-0.0165482498183379,0.000714784239183092,-9.12349598390404e-05,0.0145969439616565,-0.000720367042230003,-0.0036365313930081,0.0331527150645818,-0.00601211589740066,-0.01928397017032,0.0109116793884838,0.0225270515096643,-0.00788428359715534,-0.0210144295527057,-0.00513808847935028,-0.0196195811989507,-0.0187831025644385,-0.00594575189357334,0.0125431156880809,0.00740185159273094,0.00685442044786295,-0.0184369415911798,-0.00520841117863836
4,individual4,GBR,22,-0.0109009970688707,0.0277297792670736,-0.0125973983735742,-0.0185699016547833,0.00190790681870721,-0.00159830930239457,0.0057699594132789,0.00118251844698517,-0.00206243281445702,0.0293170665803871,-0.00527066182221425,-0.0162482738335884,0.00914064092794892,0.0135465410799815,0.00712977182273567,-0.00648533579645667,-0.00644707075917101,-0.0227296453807026,-0.0245314312339939,-0.00130106327696356,0.01357592648173,0.00943365532982452,0.0112380827348144,-0.0237213545412475,0.00383730187094256
5,individual5,GBR,22,-0.0109107684428465,0.0271314604934395,-0.0127706893426669,-0.0175698510836831,-0.0011006415311811,0.00119525702286224,0.0135557424620325,-0.000836026237313804,0.00378151812584592,0.0413405180428927,-0.00480568475139587,-0.0254094120441155,0.0268799385299707,0.0236738428093529,0.00565504683087265,-0.0203834860158222,-0.00778624610402271,-0.0155501570281517,-0.0207462028257641,0.00404823910345124,0.0179381777908058,0.000579193104120878,0.0104042500036746,-0.0239666664581564,0.0032999121528695
6,individual6,GBR,22,-0.011440781490344,0.0271660498293538,-0.0116799608060983,-0.017116626512719,0.00532725924282465,0.00218169378701587,0.0129814512302357,0.00245550510080282,0.00326185462047254,0.0320169528591615,-0.00789700080143629,-0.0269321942019942,0.0151980659719778,0.0231044079202538,-0.00310193998007984,-0.00851834037182083,-0.00279922110059723,-0.012832578644195,-0.0218714162533378,-0.00249070015950065,0.0228254104969271,0.0143472472338984,0.0112164896175343,-0.0219513270425685,-0.000772195982195486
7,individual7,GBR,22,-0.0109098385167301,0.0271773381154484,-0.0118470043335346,-0.0179264457709504,0.0026261150236654,-0.00030453126065742,0.00871612858057193,-0.000207759874204613,-0.0123293745478455,0.0280868969015183,0.0029009591522118,-0.0174084899617605,0.0167440682194211,0.0141005540932119,0.00491491348982132,-0.00936032523024177,-0.00157004923056558,-0.0211297827444046,-0.020206619195049,-0.00423570819684223,0.00805542050364724,0.0168441269795821,0.00771990446277421,-0.0124621575200987,-0.00420705498134784
8,individual8,GBR,22,-0.0107978960499085,0.027178628903619,-0.0123339836623878,-0.0170389867962261,-0.000114389359855699,0.00199844832734393,0.00912291986243599,-0.00239003116532448,-0.00236693877999353,0.0250562825260458,-0.00609237158976897,-0.0186165022514096,0.017107879373866,0.00471620926146396,0.0133589016728595,-0.00429383222844903,-0.00356337401477426,-0.00865631459407393,-0.0245679071298506,-0.00322176314630383,0.0142902316337479,0.0112518282289744,0.00646607656612828,-0.0277730628831955,-0.000522200771079055
9,individual9,GBR,22,-0.0107669661943635,0.0275825096725119,-0.0109637054008316,-0.0160629549185152,-0.00259222087041747,0.000955800710826868,0.00835081584251568,-0.00258565769033543,-0.002861814354157,0.0219452260212532,-0.00835639157300462,-0.0226834758628483,0.01234439474679,0.0169005025680303,-0.00228088755023857,-0.00399604485727187,-0.00130817522562342,-0.0168457607870014,-0.0213363561334234,-0.00532662807635307,0.00560882133197489,-0.00341122190226699,0.00344046516922404,-0.0228338310200516,0.000493060783274132
10,individual10,GBR,22,-0.0110513613148677,0.0273262283247447,-0.0117498517422437,-0.0161311413729567,0.00105685126006908,0.00121603029702818,0.0144087615376417,-0.00469634361073842,0.00199741482971995,0.0382241148324144,-0.00365003990240949,-0.0168034214888744,0.0234858751196341,0.00128867670733291,5.01144675423008e-05,-0.00430427252861838,-0.00158493511450249,-0.0148215908241026,-0.0221538848436053,0.000112007550211861,0.0140064944424881,0.00555570811087922,0.00737920850290721,-0.0244568416563871,0.00187093696833778
