,pop1,pop2,pop3,pop4,pop9,pop6,pop7,pop8,pop10,pop11,pop12,pop13,pop14,pop15
pop1,0,0.00197310740842517,0.00384833153070567,0.00504244843002678,0.219609726730667,0.220442128627526,0.222171275376348,0.222873458985743,0.21535391225881,0.21374776579108,0.216417754489388,0.216068500985709,0.215601002053724,0.215681920339216
pop2,0.00197310740842517,0,0.0040057260166291,0.0047171741130532,0.220123466860128,0.220805786565761,0.22252399928968,0.223261921544835,0.21592621866615,0.214385009915535,0.21712068000784,0.21675427794302,0.216375868946077,0.216341714474539
pop3,0.00384833153070567,0.0040057260166291,0,0.00696764762684267,0.221913594301772,0.222703027921178,0.224472264396437,0.225023319221806,0.218572249419891,0.217054472206284,0.219791041828227,0.219454784958602,0.219123760691192,0.219011189242336
pop4,0.00504244843002678,0.0047171741130532,0.00696764762684267,0,0.221303980124644,0.221882097018802,0.22366915060514,0.224495415738348,0.216787643608071,0.21526551397679,0.218019758589668,0.217663266513431,0.217020867194547,0.217088069806497
pop9,0.219609726730667,0.220123466860128,0.221913594301772,0.221303980124644,0,0.00178582948134766,0.00287999505887424,0.00488164678123899,0.216076742635271,0.216520002125557,0.218927990754779,0.217959866272699,0.217953481407194,0.217625796202646
pop6,0.220442128627526,0.220805786565761,0.222703027921178,0.221882097018802,0.00178582948134766,0,0.00313846807231793,0.00506885131714448,0.216013567504627,0.216485806742801,0.218841814533324,0.218056893125362,0.217711771916171,0.217550931824717
pop7,0.222171275376348,0.22252399928968,0.224472264396437,0.22366915060514,0.00287999505887424,0.00313846807231793,0,0.00614774043340075,0.218259063954375,0.21875400130456,0.221246733130189,0.2202782996271,0.220136562213216,0.219822987415631
pop8,0.222873458985743,0.223261921544835,0.225023319221806,0.224495415738348,0.00488164678123899,0.00506885131714448,0.00614774043340075,0,0.2192735600623,0.21955904808994,0.222200563095458,0.221175473779908,0.221110300007997,0.22063846759379
pop10,0.21535391225881,0.21592621866615,0.218572249419891,0.216787643608071,0.216076742635271,0.216013567504627,0.218259063954375,0.2192735600623,0,0.00323103175314942,0.0050251035077631,0.0042304973097199,0.00498152188745373,0.00337572146404398
pop11,0.21374776579108,0.214385009915535,0.217054472206284,0.21526551397679,0.216520002125557,0.216485806742801,0.21875400130456,0.21955904808994,0.00323103175314942,0,0.00504888280828372,0.00421262326355532,0.00500103882172858,0.00332265325267068
pop12,0.216417754489388,0.21712068000784,0.219791041828227,0.218019758589668,0.218927990754779,0.218841814533324,0.221246733130189,0.222200563095458,0.0050251035077631,0.00504888280828372,0,0.00600655948350517,0.00705946125821555,0.00524259180768643
pop13,0.216068500985709,0.21675427794302,0.219454784958602,0.217663266513431,0.217959866272699,0.218056893125362,0.2202782996271,0.221175473779908,0.0042304973097199,0.00421262326355532,0.00600655948350517,0,0.00623714878768048,0.00405067725211266
pop14,0.215601002053724,0.216375868946077,0.219123760691192,0.217020867194547,0.217953481407194,0.217711771916171,0.220136562213216,0.221110300007997,0.00498152188745373,0.00500103882172858,0.00705946125821555,0.00623714878768048,0,0.00501608419895185
pop15,0.215681920339216,0.216341714474539,0.219011189242336,0.217088069806497,0.217625796202646,0.217550931824717,0.219822987415631,0.22063846759379,0.00337572146404398,0.00332265325267068,0.00524259180768643,0.00405067725211266,0.00501608419895185,0
